,segment number,timecode Vinyl,MFCC,DTW,FFT (MSE),FFT (Corr)
0,0,5.074671201814059,0.33516532,621.0339876379905,172.15958,3.325314241581493e-06
1,1,5.574671201814059,0.009205822,622.3166710884834,95.61404,1.2660010824525052e-05
2,2,6.074671201814059,0.076217294,348.35411380363803,38.438946,4.588790803389241e-06
3,3,6.574671201814059,0.108406425,409.91095507099817,38.405876,7.428815701700786e-06
4,4,7.074671201814059,0.018019527,502.34744882988525,27.412308,1.8597255591146567e-05
5,5,7.574671201814059,0.012113929,594.9443957873955,47.27629,2.4230808031338674e-05
6,6,8.07467120181406,0.1528264,613.4037337091322,60.2338,2.629979253467223e-05
7,7,8.57467120181406,0.017085433,430.1007537885853,14.311865,6.747933586349381e-06
8,8,9.07467120181406,0.028218985,203.95412382636277,8.032248,9.675930385266314e-06
9,9,9.57467120181406,0.2873758,220.35831030743975,8.036011,9.457116153227994e-06
10,10,10.07467120181406,0.08696926,80.42684599134554,1.3868117,4.8597223384627135e-06
11,11,10.57467120181406,0.72774386,79.09888248110747,1.5078855,1.0787458954889084e-05
12,12,11.07467120181406,1.0729136,170.73758210561027,4.836486,1.1535230056884276e-05
13,13,11.57467120181406,1.1930964,162.58605745778004,6.0250645,9.715432372757483e-06
14,14,12.07467120181406,0.55466485,251.52984582391946,3.5804482,4.880360207796237e-06
15,15,12.57467120181406,2.8675666,148.84764639940113,4.576663,1.3276551330964806e-05
16,16,13.07467120181406,3.4695654,99.83855027534992,2.0438619,1.5126623940759943e-05
17,17,13.57467120181406,3.6453085,99.35472183853744,1.5667306,6.4710989577582945e-06
18,18,14.07467120181406,2.809885,79.05610588765057,1.0632406,4.539233296934184e-06
19,19,14.57467120181406,1.5762421,149.7778237589464,3.0026495,8.259268613066416e-06
20,20.0,15.07467120181406,1.6125547885894775,160.1775821478385,3.400529623031616,9.358005037402701e-06
21,21.0,15.57467120181406,0.036803483963012695,73.61186099889164,2.168710231781006,8.91139153401538e-06
22,22.0,16.07467120181406,0.06247687339782715,246.1376854776463,11.792189598083496,4.902036171234589e-06
23,23.0,16.57467120181406,0.02117288112640381,198.45625424598984,4.087324142456055,5.302590039287049e-06
24,24.0,17.07467120181406,0.013993024826049805,130.97859192025953,6.157780647277832,6.080245545369867e-06
25,25.0,17.57467120181406,0.03076171875,230.21176112048124,4.409786701202393,8.577203909828619e-06
26,26.0,18.07467120181406,0.021707355976104736,207.85037511780138,13.306751251220703,7.481105105956778e-06
27,27.0,18.57467120181406,0.0031517744064331055,804.8952954100387,50.36048889160156,4.4200074166117575e-06
28,28.0,19.07467120181406,0.004369616508483887,809.5807782650372,33.317161560058594,5.124247639420389e-06
29,29.0,19.57467120181406,0.09742158651351929,358.9142821666992,19.24476432800293,4.548156179451995e-06
30,30.0,20.07467120181406,0.0029807090759277344,526.3134473015889,25.711380004882812,6.085062705922481e-06
31,31.0,20.57467120181406,0.035184383392333984,672.6704538228296,37.01361083984375,4.346257975413236e-06
32,32.0,21.07467120181406,0.012418389320373535,708.5077347774859,35.035667419433594,3.927477905340288e-06
33,33.0,21.57467120181406,0.04022204875946045,771.8491439797326,78.08097839355469,3.5556645037103733e-06
34,34.0,22.07467120181406,0.016472220420837402,817.2815698787817,30.78569793701172,3.9073436400291834e-06
35,35.0,22.57467120181406,0.021762967109680176,502.62241294888736,25.57923126220703,5.59559907825627e-06
36,36.0,23.07467120181406,0.07034635543823242,517.074372095929,21.53801918029785,7.039127518365826e-06
37,37.0,23.57467120181406,0.10239803791046143,806.3720233448112,28.768613815307617,6.370004537516649e-06
38,38.0,24.07467120181406,0.10285627841949463,831.9889006057747,58.4498176574707,3.9439297521818385e-06
39,39.0,24.57467120181406,0.015615642070770264,1123.9443212734914,51.99726867675781,4.765818535882591e-06
